landslides_polygons$id,mean.tch,sd.tch,mean.slope,mean.tri,tri.10m,elev,elev.km,ls.northing,ls.easting,insol.dsm,insol.kw,insol,agb,year,age,surface.area,perimeter,elev.mean.tch,max.tch.buf,rem
64,1.7359369,1.90840834,42.13685614,1.469742205,7.284850271,2661.546676,2.661546676,0.525809588,0.679908716,1051292.051,1051.292051,2.880252196,9.353578674,2012,1,5676.44919,905.7320202,12.05423873,8.650146484,0
66,7.714548275,5.330634829,48.57410567,1.801063559,8.500268119,2686.025574,2.686025574,0.697933876,0.665368537,1163925.499,1163.925499,3.188836983,47.19034576,1996,17,2237.375856,268.4372816,12.02531982,27.21166992,1
67,11.3579633,4.746296536,43.42116265,1.542276024,7.195421855,2698.817178,2.698817178,0.643921086,0.643353535,1209530.764,1209.530764,3.313782916,77.37693143,2000,13,7032.711167,519.2482725,12.01020806,28.68432617,1
68,3.510873267,4.390387294,45.04755116,1.60340243,7.869666466,2584.850783,2.584850783,-0.761428559,0.482754469,860730.8244,860.7308244,2.358166642,26.07261791,2003,10,3787.987763,517.3679857,12.14484583,22.09448242,1
69,2.782228566,3.259829139,45.20257096,1.611743716,7.965284559,2667.418524,2.667418524,0.887612008,0.329454396,972252.875,972.252875,2.663706507,14.43321819,2005,8,2867.502731,275.8410049,12.04730184,8.737060547,0
70,2.787140973,2.501047555,50.00326628,1.988747528,9.599960991,2584.853448,2.584853448,0.898402628,0.143536063,1037509.336,1037.509336,2.84249133,17.85884638,2012,1,7623.008172,567.5644575,12.14484268,10.90551758,0
71,0.7805315,1.175883483,42.62433013,1.43966631,6.739146163,2858.339859,2.858339859,-0.550304107,0.72914185,1063397.661,1063.397661,2.91341825,6.77167914,2007,6,5456.511821,322.474077,11.82175095,4.571289063,0
72,0.858483662,1.335603014,41.43137195,1.368070347,6.433445231,2819.681982,2.819681982,-0.596501814,0.707218778,960030.2354,960.0302354,2.630219823,5.673242394,2009,4,2074.236533,211.5655767,11.86742064,5.840820313,0
73,3.302327842,4.894162079,35.28698161,1.204472482,4.904230618,2863.586955,2.863586955,0.535593417,-0.383414158,1323747.083,1323.747083,3.626704338,20.14261333,2003,10,24066.02227,3770.715182,11.81555213,24.83398438,1
74,5.468297855,7.451151995,41.7548512,1.510736958,6.846422195,2807.55166,2.80755166,-0.514082124,0.588386353,982870.5195,982.8705195,2.692795944,40.80523181,2011,2,16366.13631,1910.334049,11.88175118,34.36962891,1
75,11.26454921,5.466033419,44.63647602,1.671236997,7.630911255,2547.256239,2.547256239,-0.381544175,0.783730848,889654.6921,889.6546921,2.437410115,81.98226252,2000,13,3313.466835,416.9289206,12.18925932,21.91821289,1
76,7.034851424,5.496295935,47.64259744,1.916359872,9.204404889,2542.425846,2.542425846,0.10896277,0.887101704,1003864.859,1003.864859,2.750314681,47.8444796,2001,12,16113.50966,646.6882183,12.19496585,22.4309082,1
77,2.162037965,2.235207183,43.32088619,1.536550116,7.250579834,2863.649444,2.863649444,0.889641991,-0.261256979,1357110.43,1357.11043,3.718110767,12.35784853,1999,14,4872.631793,515.0844851,11.8154783,14.63134766,1
78,1.487761289,1.251758637,45.65160478,1.725632222,8.055525836,2571.716009,2.571716009,0.818364342,-0.13949194,924049.2482,924.0492482,2.531641776,7.012479011,2003,10,2607.509448,214.6717424,12.160363,5.535400391,0
79,2.308221196,3.006487048,54.4262948,2.315238259,10.69656137,2541.926073,2.541926073,0.794208234,-0.486259789,832064.726,832.064726,2.279629386,15.26992034,2004,9,4678.536269,307.6147573,12.19555628,23.35498047,1
80,4.978754221,2.84248336,38.23208209,1.219004247,5.901028951,3167.95678,3.16795678,0.67197913,0.676928061,1301159.001,1301.159001,3.564819181,30.17037789,2001,12,1605.419697,213.3825788,10.14825758,16.03613281,1
